Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
0.5909422936449963,0.5,0.5,0.375,0.375,Have certificate,0.7238095238095237
0.4156318480642805,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.619047619047619
0.6347699050401753,0.875,0.6666666666666666,0.375,0.375,Sale contract,0.7523809523809524
0.3718042366691015,0.5,0.16666666666666666,0.125,0.375,Have certificate,0.41428571428571426
0.6493791088385683,0.5,0.16666666666666666,0.625,0.625,Have certificate,0.5619047619047619
0.6420745069393717,1.0,0.33333333333333337,0.375,0.375,Have certificate,0.8380952380952381
0.44485025566106645,0.375,0.6666666666666666,0.375,0.375,Have certificate,0.5904761904761905
0.5178962746530313,0.625,0.6666666666666666,0.625,0.875,Have certificate,0.8476190476190476
0.3279766252739226,0.5,0.6666666666666666,1.0,0.375,Have certificate,0.4476190476190476
0.6420745069393717,1.0,0.6666666666666666,0.375,0.375,Have certificate,0.8095238095238094
0.5617238860482103,0.625,0.6666666666666666,1.0,1.0,Have certificate,0.8571428571428571
0.4886778670562454,0.875,0.6666666666666666,1.0,0.375,Have certificate,0.8380952380952381
0.4156318480642805,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.7523809523809524
0.6420745069393717,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.7238095238095237
0.6785975164353543,0.875,0.5,0.375,0.375,Sale contract,0.8190476190476189
0.1964937910883857,0.5,0.16666666666666666,0.125,0.125,Have certificate,0.2657142857142857
0.9999999999999999,1.0,0.33333333333333337,1.0,0.375,Have certificate,0.8
0.6420745069393717,1.0,0.33333333333333337,0.375,0.375,Have certificate,0.8571428571428571
0.45215485756026297,0.625,0.6666666666666666,0.875,0.625,Sale contract,0.6476190476190475
0.3133674214755296,0.5249999999999999,0.5,0.625,0.875,Have certificate,0.6657142857142857
0.5252008765522279,0.625,0.6666666666666666,1.0,0.875,Sale contract,0.7333333333333332
0.7078159240321402,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.219047619047619
0.5909422936449963,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.8047619047619047
0.4156318480642805,0.25,0.16666666666666666,1.0,0.875,Have certificate,0.438095238095238
0.9999999999999999,1.0,0.16666666666666666,0.625,0.625,Have certificate,0.5047619047619047
0.5252008765522279,0.625,0.33333333333333337,0.375,0.375,Have certificate,0.638095238095238
0.379108838568298,0.625,0.16666666666666666,0.625,0.375,Have certificate,0.2142857142857143
0.5471146822498174,0.875,0.6666666666666666,0.375,0.375,Have certificate,0.818095238095238
0.46968590211833455,0.375,0.6666666666666666,0.625,1.0,Have certificate,0.8095238095238094
0.18188458728999268,0.5,0.16666666666666666,0.125,0.125,Have certificate,0.27428571428571424
0.9999999999999999,0.5,0.16666666666666666,1.0,0.375,Have certificate,0.5428571428571428
0.5032870708546384,0.7749999999999999,0.0,0.375,0.375,Have certificate,0.8571428571428571
0.5471146822498174,0.875,0.5,1.0,1.0,Have certificate,0.7266666666666667
0.4740686632578524,0.5,0.33333333333333337,0.625,1.0,Have certificate,0.5238095238095238
0.2914536157779401,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.4619047619047618
0.21694667640613585,0.5,0.6666666666666666,0.375,0.375,Have certificate,0.619047619047619
0.9999999999999999,0.5,0.16666666666666666,0.625,0.625,Have certificate,0.4
0.5032870708546384,1.0,0.16666666666666666,0.125,0.125,Have certificate,0.09523809523809523
0.4886778670562454,0.625,0.6666666666666666,1.0,0.625,Sale contract,0.7142857142857143
0.5252008765522279,0.625,0.6666666666666666,0.875,0.625,Sale contract,0.6761904761904761
0.5617238860482103,0.625,0.6666666666666666,0.375,0.375,Sale contract,0.7619047619047619
0.9999999999999999,0.5,0.16666666666666666,0.375,0.375,Have certificate,0.6476190476190475
0.6201607012417822,0.75,0.6666666666666666,0.625,0.625,Have certificate,0.5238095238095238
0.3718042366691015,0.825,0.5,1.0,1.0,Have certificate,0.7428571428571429
0.24032140248356465,0.32499999999999996,0.6666666666666666,0.375,0.375,Have certificate,0.2714285714285714
0.2768444119795471,0.5,0.6666666666666666,0.625,0.625,Have certificate,0.8571428571428571
0.23301680058436813,0.5,0.5,0.375,0.375,Have certificate,0.18095238095238092
0.3133674214755296,0.5,0.33333333333333337,0.0,0.0,Sale contract,0.3142857142857142
0.9999999999999999,1.0,0.5,0.375,0.375,Have certificate,0.4095238095238095
0.25493060628195763,0.5,0.33333333333333337,0.375,0.375,Have certificate,0.10476190476190478
0.3060628195763331,0.625,0.33333333333333337,0.375,0.625,Have certificate,0.4714285714285714
0.6347699050401753,0.875,0.16666666666666666,0.625,0.375,Sale contract,0.20952380952380956
0.6201607012417822,0.75,0.6666666666666666,0.625,0.625,Sale contract,0.5333333333333332
0.5982468955441929,0.5,0.33333333333333337,0.625,0.875,Have certificate,0.4666666666666667
0.9999999999999999,0.5,0.5,0.625,0.875,Have certificate,0.8095238095238094
