City,Area,Frontage,Floors,Bedrooms,Bathrooms,Legal status,Price
Tphcm,45.0,6.0,4.0,4.0,4.0,Have certificate,7.6499999999999995
Yên Bái,140.0,6.5,1.9999999999999996,3.0,3.0,Sale contract,5.599999999999999
Đà Nẵng,120.0,4.5,3.0,4.0,3.0,Have certificate,8.4
Bình Dương,63.99999999999999,4.0,3.0,4.0,3.0,Have certificate,4.7
Vĩnh Long,49.99999999999999,3.7,5.0,5.5,5.5,Have certificate,8.9
Tphcm,35.99999999999999,6.5,5.0,3.0,4.0,Have certificate,5.599999999999999
Bình Dương,140.0,4.5,3.0,3.0,3.0,Have certificate,6.3
Nam Từ Liêm,87.99999999999999,4.5,4.0,3.0,3.0,Have certificate,6.599999999999999
Hà Giang,140.0,4.5,1.9999999999999996,3.0,3.0,Sale contract,7.799999999999999
Hậu Giang,99.4,4.0,1.9999999999999996,3.0,2.0,Have certificate,9.499999999999998
Sơn La,32.99999999999999,4.5,5.0,3.0,3.0,Have certificate,4.95
Bình Thuận,100.0,4.5,3.0,3.0,3.0,Have certificate,7.499999999999999
Hà Giang,33.99999999999999,4.5,4.0,3.0,3.0,Have certificate,2.8999999999999995
Hải Phòng,100.0,6.5,3.0,4.0,5.0,Have certificate,6.5
Hải Phòng,60.00000000000001,6.5,4.0,5.0,5.0,Have certificate,4.5
Bình Dương,85.0,4.5,4.0,4.0,5.5,Have certificate,4.2
Đường Số 11,74.02,5.3,3.0,3.0,3.0,Have certificate,2.38
Lâm Đồng,62.5,5.0,5.0,3.0,3.0,Have certificate,7.499999999999999
Vĩnh Long,86.99999999999999,5.0,5.0,5.0,5.0,Have certificate,10.0
Tphcm,56.0,5.0,3.0,3.0,3.0,Have certificate,2.7
Vĩnh Long,90.0,4.5,3.0,3.0,3.0,Have certificate,5.499999999999999
Tphcm,58.00000000000001,4.5,3.0,3.0,3.0,Sale contract,4.609999999999999
Hà Giang,34.99999999999999,5.0,5.0,5.0,4.0,Have certificate,6.849999999999999
Nam Từ Liêm,50.4,4.5,3.0,4.0,4.0,Have certificate,3.749999999999999
Bình Định,54.0,4.5,3.0,4.0,4.0,Have certificate,4.299999999999999
Bình Dương,57.400000000000006,4.5,3.0,3.0,2.0,Have certificate,4.049999999999999
Thừa Thiên Huế,56.0,3.8199999999999994,5.0,5.5,5.0,Have certificate,6.5
Đường Số 11,140.0,4.0,1.9999999999999996,4.0,3.0,Have certificate,3.1999999999999997
Hải Phòng,51.75,4.5,4.0,4.0,5.0,Have certificate,9.2
Nam Từ Liêm,27.0,4.0,5.0,4.0,5.0,Have certificate,7.6499999999999995
Hà Giang,114.99999999999999,4.5,3.0,3.0,3.0,Have certificate,9.55
Hải Phòng,80.99999999999999,4.5,5.0,3.0,3.0,Have certificate,9.9
Bình Dương,102.79999999999998,6.5,1.9999999999999996,4.0,4.0,Have certificate,5.599999999999999
Hải Phòng,48.0,4.5,3.0,3.0,3.0,Have certificate,5.799999999999999
Đường Số 11,55.0,4.5,3.0,3.0,3.0,Have certificate,6.799999999999999
Yên Bái,56.25,4.5,3.0,4.0,3.0,Have certificate,4.289999999999999
Bà Rịa Vũng Tàu,65.0,4.5,1.9999999999999996,3.0,3.0,Have certificate,4.0
Hải Phòng,79.99999999999999,6.5,5.0,5.0,5.5,Have certificate,6.5
Bình Dương,60.00000000000001,4.0,3.0,3.0,3.0,Sale contract,7.0
Đường Số 11,32.99999999999999,3.0,5.0,3.0,4.0,Have certificate,4.4799999999999995
Bà Rịa Vũng Tàu,37.99999999999999,4.2,4.0,3.0,4.0,Have certificate,6.779999999999999
Vĩnh Long,140.0,5.0,3.0,3.0,3.0,Sale contract,4.8999999999999995
Tphcm,42.0,4.5,3.0,2.0,3.0,Have certificate,6.5
Yên Bái,60.00000000000001,4.5,3.0,3.0,3.0,Have certificate,7.0
Yên Bái,30.000000000000004,3.3999999999999995,6.0,4.0,5.0,Have certificate,5.6499999999999995
Lâm Đồng,78.0,6.0,5.0,3.0,3.0,Have certificate,9.8
Đà Nẵng,43.49999999999999,4.5,4.0,3.0,4.0,Have certificate,6.199999999999999
Sơn La,23.89999999999999,3.5,1.9999999999999996,2.0,2.0,Have certificate,4.2
Vĩnh Long,78.69999999999999,4.0,3.0,3.0,3.0,Have certificate,5.499999999999999
Bình Thuận,67.5,4.5,3.0,3.0,3.0,Have certificate,2.1799999999999993
Tuyên Quang,72.0,4.0,1.9999999999999996,4.0,4.0,Have certificate,6.699999999999999
Hưng Yên,60.00000000000001,4.5,4.0,4.0,3.0,Have certificate,2.6499999999999995
Đường Số 11,140.0,4.5,1.9999999999999996,3.0,3.0,Have certificate,10.0
Vĩnh Long,35.99999999999999,4.0,5.0,4.0,4.0,Have certificate,5.999999999999999
Đà Nẵng,100.0,4.5,3.0,4.0,4.0,Have certificate,8.489999999999998
Yên Bái,120.0,6.0,4.0,3.0,3.0,Have certificate,5.849999999999999
Hậu Giang,78.0,4.5,3.0,3.0,3.0,Have certificate,5.799999999999999
Hưng Yên,132.0,4.0,1.9999999999999996,3.0,2.0,Have certificate,7.0
Đà Nẵng,101.99999999999999,4.5,1.0,2.0,1.5,Have certificate,6.799999999999999
Vĩnh Long,100.99999999999999,6.5,3.0,4.0,3.0,Have certificate,6.599999999999999
Sơn La,80.99999999999999,6.5,1.0,1.5,1.5,Have certificate,5.799999999999999
Bình Định,34.99999999999999,4.5,5.0,4.0,3.0,Have certificate,3.499999999999999
Lâm Đồng,75.0,5.0,3.0,3.0,3.0,Have certificate,7.699999999999999
Đà Nẵng,62.0,4.5,4.0,5.5,4.0,Have certificate,6.9
Bến Tre,100.0,6.5,3.0,3.0,3.0,Have certificate,3.899999999999999
Nam Từ Liêm,42.0,3.3,4.0,5.0,4.0,Have certificate,8.8
Nam Từ Liêm,140.0,5.0,4.0,4.0,4.0,Have certificate,9.3
Tuyên Quang,140.0,6.5,3.0,5.0,4.0,Have certificate,9.699999999999998
Hậu Giang,75.0,5.0,5.0,3.0,3.0,Have certificate,8.599999999999998
Vĩnh Long,78.0,6.0,5.0,3.0,3.0,Have certificate,9.4
Bình Dương,32.99999999999999,4.5,5.0,3.0,4.0,Have certificate,4.15
Bình Dương,30.999999999999993,4.5,5.0,3.0,3.0,Have certificate,2.8999999999999995
Tuyên Quang,83.6,4.5,4.0,4.0,5.0,Have certificate,8.599999999999998
Đà Nẵng,56.0,4.8,6.0,4.0,4.0,Have certificate,5.3
